,rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
0,10,277,Santos,293,Athletico-PR,2,1,270284,2021-07-06T19:30,19:30,True
1,10,356,Fortaleza,327,América-MG,4,0,270286,2021-07-07T18:00,18:00,True
2,10,265,Bahia,286,Juventude,1,0,270287,2021-07-07T18:00,18:00,True
3,10,280,Bragantino,1371,Cuiabá,1,1,270288,2021-07-07T18:00,18:00,True
4,10,275,Palmeiras,284,Grêmio,2,0,270281,2021-07-07T19:00,19:00,True
5,10,282,Atlético-MG,262,Flamengo,2,1,270282,2021-07-07T19:00,19:00,True
6,10,373,Atlético-GO,292,Sport,1,1,270290,2021-07-07T19:15,19:15,True
7,10,266,Fluminense,354,Ceará,0,0,270283,2021-07-07T21:30,21:30,True
8,10,285,Internacional,276,São Paulo,0,2,270285,2021-07-07T21:30,21:30,True
9,10,315,Chapecoense,264,Corinthians,0,1,270289,2021-07-08T21:00,21:00,True
10,10,293,Athletico-PR,277,Santos,1,2,270284,2021-07-06T19:30,19:30,False
11,10,327,América-MG,356,Fortaleza,0,4,270286,2021-07-07T18:00,18:00,False
12,10,286,Juventude,265,Bahia,0,1,270287,2021-07-07T18:00,18:00,False
13,10,1371,Cuiabá,280,Bragantino,1,1,270288,2021-07-07T18:00,18:00,False
14,10,284,Grêmio,275,Palmeiras,0,2,270281,2021-07-07T19:00,19:00,False
15,10,262,Flamengo,282,Atlético-MG,1,2,270282,2021-07-07T19:00,19:00,False
16,10,292,Sport,373,Atlético-GO,1,1,270290,2021-07-07T19:15,19:15,False
17,10,354,Ceará,266,Fluminense,0,0,270283,2021-07-07T21:30,21:30,False
18,10,276,São Paulo,285,Internacional,2,0,270285,2021-07-07T21:30,21:30,False
19,10,264,Corinthians,315,Chapecoense,1,0,270289,2021-07-08T21:00,21:00,False
